2005.00000     -5.7387     27.1543
2005.00274     -6.5206      0.1190
2005.00548     -8.9969     -2.7143
2005.00822     -2.9038     -0.3976
2005.01096     -7.9724      0.2678
2005.01370     -5.6836      0.0941
2005.01644     -9.0952     -0.6707
2005.01918    -10.3261      7.0432
2005.02192     -9.5223      0.3062
2005.02466     -8.3802     -0.4153
2005.02740     -8.5699     -0.9757
2005.03014     -5.3100      1.4210
2005.03288     -8.5653     -0.8250
2005.03562    -14.1412     -0.3560
2005.03836    -11.5616     -1.2533
2005.04110     -5.8581     -0.8984
2005.04384     -7.7494     -0.3663
2005.04658     -9.3695     -2.7891
2005.04932     -9.6939     -0.3126
2005.05205    -12.3989     -0.7742
2005.05479    -10.3609     -0.2293
2005.05753     -8.3522     -0.0552
2005.06027    -10.4426      1.2542
2005.06301     -7.1264     -0.0833
2005.06575    -10.2479     -1.5174
2005.06849     -6.9781     -0.1072
2005.07123     -4.6323      1.4711
2005.07397     -8.7391     -1.2790
2005.07671     -6.6336      1.5288
2005.07945    -14.6391      0.3603
2005.08219    -10.7491     -1.0587
2005.08493     -4.9997     -1.4308
2005.08767    -10.6399      0.0640
2005.09041    -12.7700      1.8156
2005.09315     -8.1951      2.1826
2005.09589     -6.8225     -5.3687
2005.09863     -9.4409     -1.5870
2005.10137     -9.2131      0.5530
2005.10411     -4.5676     -1.7637
2005.10685     -6.2196      1.3829
2005.10959    -12.2964     -0.1813
2005.11233     -8.8958      0.4569
2005.11507     -7.9191      1.2704
2005.11781     -0.9392     -0.0170
2005.12055     -1.1291      0.1668
2005.12329     -7.9054      0.8024
2005.12603     -8.7710     -1.3024
2005.12877     -1.9267     -0.2733
2005.13151    -13.4809     -0.5425
2005.13425     -6.4534      1.2048
2005.13699     -2.1642     -0.0095
2005.13973      1.1679      0.7071
2005.14247     -8.7562     -1.4781
2005.14521     -7.7335      0.8165
2005.14795     -4.0627     15.2539
2005.15068     -7.8904     -0.9346
2005.15342     -9.9349     -0.6273
2005.15616     -6.7244     -0.1601
2005.15890     -0.7511     -2.1274
2005.16164     -0.8326      1.4635
2005.16438     -5.2823      0.0916
2005.16712     -8.1665      0.7089
2005.16986     -6.8249      1.0812
2005.17260     -6.3213      0.0035
2005.17534    -28.2445      0.7615
2005.17808     -4.7801      0.4814
2005.18082     -4.9718      0.5047
2005.18356     -7.2949      1.2226
2005.18630     -5.9564      0.1953
2005.18904     -3.8591      0.4523
2005.19178      0.6773     -0.6592
